Sample,Nitrogen (%),Carbon(%),Treatment,Weight of Seeds,Total_Nitrogen,Total_Carbon,Total_Phosphorus,,,
T1 Control,2,44.06,Control,56.57,1.1314,24.924742,0.175212903,,,
T2 Control,1.8,42.63,Control,39.66,0.71388,16.907058,0.111824401,,,
T3 Control,2.12,43.34,Control,68.69,1.456228,29.770246,0.255073171,,,
T4 Control,1.95,44.81,Control,59.91,1.168245,26.845671,0.163699138,,,
T1 UBC,1.94,43.69,UBC,18.81,0.364914,8.218089,0.056646934,,,
T2 UBC,2.09,43.86,UBC,33.04,0.690536,14.491344,0.096786903,,,
T3 UBC,1.85,43.63,UBC,83.91,1.552335,36.609933,0.213455806,,,
T4 UBC,1.78,43.85,UBC,50.71,0.902638,22.236335,0.128811579,,,
T1 BC,1.73,40.09,BC,57.05,0.986965,22.871345,0.172527518,,,
T2 BC,1.81,42.94,BC,29.48,0.533588,12.658712,0.084888545,,,
T3 BC,1.73,43.27,BC,46.63,0.806699,20.176801,0.143974394,,,
T4 BC,1.8,42.75,BC,102.63,1.84734,43.874325,0.287385047,,,
T1 MBC,1.74,38.2,MBC,56.83,0.988842,21.70906,0.174586068,,,
T2 MBC,1.85,42.42,MBC,29.17,0.539645,12.373914,0.097719758,,,
T3 MBC,1.87,43.59,MBC,38.54,0.720698,16.799586,0.112931115,,,
T4 MBC,2.14,43.94,MBC,35.52,0.760128,15.607488,0.11178164,,,
T1 MC,1.76,43.69,MC,29.54,0.519904,12.906026,0.078041105,,,
T2 MC,1.78,42.31,MC,26.8,0.47704,11.33908,0.075852931,,,
T3 MC,1.78,42.32,MC,70.89,1.261842,30.000648,0.213616202,,,
T4 MC,1.85,43.71,MC,72.87,1.348095,31.851477,0.195770099,,,
T1 UC,1.83,43.5,UC,42.05,0.769515,18.29175,0.124208139,,,
T2 UC,1.92,42.84,UC,27.61,0.530112,11.828124,0.084349047,,,
T3 UC,1.93,43.89,UC,64.77,1.250061,28.427553,0.188738531,,,
T4 UC,1.92,43.47,UC,71.33,1.369536,31.007151,0.189953262,,,
T1 C,1.93,43.74,C,41.55,0.801915,18.17397,0.126339959,,,
T2 C,2.1,43.27,C,12.55,0.26355,5.430385,0.041241863,,,
T3 C,1.82,39.98,C,78.18,1.422876,31.256364,0.246112444,,,
T4 C,1.92,44.09,C,45.22,0.868224,19.937498,0.135973178,,,
T1 B,1.79,42.52,B,35.86,0.641894,15.247672,0.110285708,,,
T2 B,1.76,41.97,B,42.14,0.741664,17.686158,0.120038506,,,
T3 B,1.64,37.16,B,25.7,0.42148,9.55012,0.083643108,,,
T4 B,2.01,43.15,B,39.4,0.79194,17.0011,0.10962355,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
